LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
1112.65,18.87,1,1,0,0,0,2019-08,A
9438.18,19.32,2,2,0,0,1,2019-08,B
878.43,19.2063,1,2,0,0,1,2019-08,B
3390.7,19.15,3,2,0,0,1,2019-08,B
3890.0,19.49,2,3,0,0,1,2019-08,B
1377.38,21.31,1,2,0,0,1,2019-08,B
468.0,20.0,1,2,0,0,1,2019-08,B
1759.0,19.2109,1,2,0,0,1,2019-08,B
1089.54,19.96,1,2,2,2,2,2019-08,C
2219.26,22.9715,1,1,0,0,0,2019-08,A
1300.0,19.3,1,1,0,0,0,2019-08,A
1649.34,21.98,1,1,0,0,0,2019-08,A
2242.0,19.85,2,1,0,0,0,2019-08,A
1173.02,18.781,1,1,0,0,0,2019-08,A
2042.04,19.33,3,1,0,0,0,2019-08,A
918.38,1.0,1,1,0,0,0,2019-08,A
1514.94,16.0,1,1,0,0,0,2019-08,A
1200.0,19.41,1,1,0,0,0,2019-08,A
1094.86,19.2109,1,1,0,0,0,2019-08,A
2187.29,1.0,1,2,0,0,1,2019-08,B
797.3,19.86,1,2,0,0,1,2019-08,B
1349.46,20.52,2,2,0,0,1,2019-08,B
1102.0,19.0,1,2,0,0,1,2019-08,B
4560.8,17.0,5,1,0,0,0,2019-08,A
2748.0,1.0,2,2,0,0,1,2019-08,B
662.0,19.2109,1,2,0,0,1,2019-08,B
1106.7,18.99,0,2,0,0,1,2019-08,B
1870.34,19.2109,1,2,0,0,1,2019-08,B
782.6,18.5,1,1,0,0,0,2019-08,A
10680.0,19.01,12,1,0,0,2,2019-08,C
1433.21,19.2109,1,2,0,0,1,2019-08,B
2059.7,19.2109,2,2,0,0,1,2019-08,B
833.64,19.2109,1,2,0,0,1,2019-08,B
908.0,19.45,1,3,0,0,1,2019-08,B
1081.34,19.2109,1,1,0,0,0,2019-08,A
1156.4,1.0,1,1,0,0,0,2019-08,A
1102.0,19.0,1,2,0,0,1,2019-08,B
5450.39,21.31,4,2,0,0,1,2019-08,B
1150.0,1.0,1,2,0,0,1,2019-08,B
1182.94,19.3855,1,1,0,0,0,2019-08,A
630.7,19.33,1,2,0,0,1,2019-08,B
3572.55,19.8,5,2,1,1,2,2019-08,C
4757.2,1.0,4,2,0,0,1,2019-08,B
2058.7,19.74,2,2,0,0,1,2019-08,B
2064.86,1.0,1,2,0,0,1,2019-08,B
674.0,17.0,1,1,0,0,0,2019-08,A
11772.0,22.3,2,2,0,0,1,2019-08,B
1959.54,19.2109,2,2,2,1,2,2019-08,C
3165.0,19.86,3,1,0,0,0,2019-08,A
1039.0,19.41,1,2,0,0,1,2019-08,B
2640.0,19.0,1,2,0,0,1,2019-08,B
